,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
572,Amazon AWS,usa, VA 20109, Manassas, 8148 Bethlehem Road,147530.0,,,,
573,CtrlS Datacenters LTD,india, Maharashtra 400710, Navi Mumbai, Mahape,,,10.0,21.5071955,78.9725097
574,IBM Cloud,spain,Madrid,,,,,,40.4167047,-3.7035825
575,One Data Center America,usa, CA, Ontario,3833 Ebony Street,,,,36.7014631,-118.755997
576,IBM Cloud,usa, TX, Dallas,1950 North Stemmons Freeway,,,,31.2638905,-98.5456116
577,AltusHost,sweden,Stockholm,,,,,,59.3251172,18.0710935
578,Amazon AWS,usa, VA 20164, Sterling,45950 Pathfinder Plz,,,,41.838558,-71.425049
579,Colt Technologies,hong kong, Causeway Bay,1 Matheson St,,,,,22.2820777,114.1891587
580,LeaseWeb,singapore, Singapore 535224, #02 00,23 Tai Seng Drive,,10000.0,,1.357107,103.8194992
581,Aptum Technologies,usa, FL 33172, Doral,2300 NW 89th Pl,50176.0,15000.0,2.0,,
582,Amazon AWS,usa, VA, Ashburn,43791 Devin Shafron Drive,,,,37.1232245,-78.4927721
583,LeaseWeb,australia, Mascot NSW 2020,639 Gardeners Rd,,,74209.0,,-33.9289562,151.1951782
584,EdgeConnex,usa, UT, West Valley City,2302 South Presidents Drive,25000.0,,2.0,39.4225192,-111.714358
585,LIM DC,poland, Mazowieckie, 00-697 Warszawa,Aleje Jerozolimskie 65/79,,,6.0,52.5461934,21.2073404
586,Pulsant,uk, Manchester M32 0QT, Stretford, Trafford Park,12917.0,10075.0,1.6,53.4794892,-2.2451148
587,EdgeConnex,usa, Virginia 23228, Richmond,1450 East Parham Road suite c,16279.0,,1.5,33.711823,-117.7924143
588,Aptum Technologies,usa, CA, Los Angeles,360 East 2nd Street,5000.0,5000.0,0.015,36.7014631,-118.755997
589,ByteGrid,usa, Washington 98036, Lynnwood,4200 194th Street Southwest,45000.0,15941.0,,47.0365017,-122.9047626
590,LeaseWeb,germany, Frankfurt am Main Mitte-West, 60489 Frankfurt am Main,Eschborner Landstraße 100,,538196.0,,50.123521249999996,8.600043263716817
591,Global Switch,netherlands, 1066 VH Amsterdam,Johan Huizingalaan 759,,344445.0,,,52.3432793952381,4.830386352380952
592,Amazon AWS,usa, VA 20166, Sterling,Loudoun Downs Ln,143730.0,,,41.838558,-71.425049
593,ColoCrossing,usa, CA, Santa Clara, Kenneth Street,309000.0,,10.0,36.7014631,-118.755997
594,OVHCloud,france, 59820 Gravelines,Route de la Ferme Masson,,,,,50.97948161352657,2.1475109507246377
595,Amazon AWS,usa, OR 97882, Umatilla,Beach Access Rd,,,,,
596,STACK INFRASTRUCTURE,usa, Texas,Dallas,,157000.0,,12.0,31.2638905,-98.5456116
597,ColoBarn,usa, AZ, Tempe,8905 South Beck Avenue,28000.0,18000.0,2.0,34.395342,-111.763275
598,STACK INFRASTRUCTURE,switzerland, 1228 Plan-les-Ouates,Chemin du Pré-Fleuri 20,,45208.42,,4.0,46.16637281287129,6.114166271287129
599,HopOne @CherryRoad,usa, WA, Seattle,3311 South 120th Place,,6500.0,1.5,47.2868352,-120.212613
600,Zenlayer,south korea, Seoul, Jongno-gu,65 Daehak-ro,,,,37.5666791,126.9782914
601,MOD Mission Critical,usa, NV, Las Vegas,7135 South Decatur Boulevard,,,,39.5158825,-116.853722
602,China Telecom,brazil, 06455-000, Barueri - SP, 3641 - Tamboré,,,,-23.501383665789472,-46.83795952105263
603,Digital Realty,usa, VA, Ashburn,43830 Devin Shafron Drive,113300.0,113300.0,10.0,37.1232245,-78.4927721
604,Enzu,usa, WA, Tukwila,12201 Tukwila International Boulevard,,,,47.2868352,-120.212613
605,Psychz Networks,india, Maharashtra, Navi Mumbai, Rabale,50000.0,,,18.9068356,75.6741579
606,TierPoint,usa, WA 99019, Liberty Lake,23403 East Mission Avenue,32000.0,21000.0,,,
607,China Telecom,australia, Ultimo NSW 2007,400 Harris Street,,,,,-33.8794728,151.1984346
608,China Telecom,china, Zhejiang, Ningbo,Yinzhou,,,,29.0000001,119.9999999
610,Cogent Communications,usa, IL, Chicago,427 South LaSalle Street,2711.0,2711.0,,40.0796606,-89.4337288
611,Digital Realty,croatia, Zagreb, 10000,Selska cesta 93,8900.0,,0.8,45.84264135,15.962231476593626
612,MOD Mission Critical,usa, TX, Dallas,1950 North Stemmons Freeway,141096.0,107785.0,60.0,31.2638905,-98.5456116
613,Digital Realty,switzerland, 8152 Glattbrugg,Bäulerwisenstrasse 4,,67800.0,,12.0,47.4326312,8.5647892
614,Limestone Networks,france, 93200 Saint-Denis,114 Rue Ambroise Croizat,,,,,48.93346144469136,2.3549686854320986
615,Expedient,usa, PA, Pittsburgh,810 Parish Street,26000.0,12000.0,1.8,40.9699889,-77.7278831
616,Les.net,canada, MB, Winnipeg,355 Portage Avenue,,,,55.001251,-97.001038
617,Tel Networks Inc.,canada, BC, Burnaby,Still Creek Drive,,,,55.001251,-125.002441
618,Cologix,canada, QC, Saint-Laurent, Montréal,6000.0,6000.0,,52.4760892,-71.8258668
619,"Ascenty, a Digital Realty Company",mexico, Querétaro, Villa Progreso, San José,258000.0,,31.0,20.8052225,-99.8837376
620,MOD Mission Critical,qatar, Al Daayen Municipality, Zone 70,Street 1495,,,,,
621,Zenlayer,china, Guangdong Province, Guangzhou, Tianhe District,,,,23.1357694,113.1982688
622,Psychz Networks,netherlands, 1066 BP Amsterdam,Henk Sneevlietweg 2-6,,436756.0,,,52.34643488333333,4.831418333333334
623,Telehouse,usa, NY, New York,85 10th Avenue,635000.0,60000.0,4.15,43.1561681,-75.8449946
624,Colocation America,usa, NY, New York,60 Hudson Street,1800000.0,88790.0,6.75,43.1561681,-75.8449946
625,MOD Mission Critical,usa, TX 78744, Austin,7500 Metro Center Dr,,,,,
626,China Telecom,china, Guangdong Sheng, Guangzhou Shi, Liwan Qu,,,,23.1357694,113.1982688
627,Struxture,canada, ON, Toronto,151 Front St W,17000.0,,10.0,50.000678,-86.000977
628,Telehouse,vietnam, Hanoi, Cầu Giấy, Dịch Vọng Hậu,20451.0,,,21.0283334,105.854041
629,Cologix,usa, MN, Minneapolis,511 11th Avenue South,28000.0,28000.0,,45.9896587,-94.6113288
630,Element Critical,usa, CA, Sunnyvale,1360 Kifer Road,96100.0,80000.0,7.0,36.7014631,-118.755997
631,"Ascenty, a Digital Realty Company",brazil, 21535-510, Rio de Janeiro - RJ, 513 - Pavuna,75000.0,,10.0,-22.8730922,-43.2481833
632,Colocation America,usa, IL, Chicago,600 South Federal Street,160000.0,,,40.0796606,-89.4337288
633,CyberNest,france, 93200 Saint-Denis,114 Rue Ambroise Croizat,,,,,48.93346144469136,2.3549686854320986
634,Lumen,usa, CA, San Diego,8929 Aero Drive,52299.0,26631.0,,36.7014631,-118.755997
635,Digital Realty,switzerland, 8152 Glattbrugg,Bäulerwisenstrasse 6/building 2,,122700.0,,25.3,47.4326312,8.5647892
636,FirstLight,usa, NY, Rochester,28 East Main Street,1500.0,,,43.1561681,-75.8449946
637,Tel Networks Inc.,canada, QC, Montreal,3685 Aylmer Street,,,,52.4760892,-71.8258668
638,China Telecom,singapore, Singapore 609934, Jurong East, 29A International Business Park,,,,1.357107,103.8194992
639,atel Technology Group,ireland, Dublin, Yellowmeadows,Nangor Road,,2964.0,1.0,53.3493795,-6.2605593
641,Oracle,singapore,Queenstown,,,,,,1.2946226,103.8060366
642,Amazon AWS,usa, VA, Sterling,22755 Relocation Drive,116000.0,,,37.1232245,-78.4927721
643,Amazon AWS,usa, VA 20169, Haymarket,15465 John Marshall Hwy,147187.0,,,41.838558,-71.425049
644,Amazon AWS,usa, VA 20105, Aldie,41992 John Mosby Hwy,,,,,
645,Amazon AWS,usa, OR 97882, Umatilla,Beach Access Rd,,,,,
646,Stream Data Centers,usa, IL, Elk Grove Village,1925 Busse Road,226000.0,130000.0,32.0,40.0796606,-89.4337288
647,Amazon AWS,israel, HaYetsira Street,Har Tuv A Industrial Zone,,,,,,
648,Amazon AWS,usa, OR 97838, Hermiston,77954 Cottonwood Bend Road,217900.0,,,,
649,AIMS Data Centre SDN BHD,malaysia, Federal Territory of Kuala Lumpur, 50200 Kuala Lumpur, Bukit Ceylon,1000.0,,0.1,3.1526589,101.7022205
650,Colt Technologies,uk, London,13 Volt Avenue,,,39827.0,,51.5074456,-0.1277653
651,Amazon AWS,usa, VA 20109, Manassas, 11800 Brewers Spring Road,123534.0,,,,
652,Amazon AWS,usa, VA, Manassas, 7505 Mason King Ct,109406.0,,,37.1232245,-78.4927721
653,DhakaColo,bangladesh, Dhaka,95 Bir Uttam AK Khandakar Rd,,10000.0,,,23.7644025,90.389015
654,Oracle,japan,Tokyo,,,,,,35.6821936,139.762221
655,NFINIT,usa, CA, San Diego,9725 Scranton Rd,100000.0,56432.0,2.9,36.7014631,-118.755997
656,Amazon AWS,australia, Ultimo NSW 2007,400 Harris St,,,,,-33.8794728,151.1984346
657,Global Switch,singapore,7 Woodlands Height,,,270788.0,,,1.42917475,103.79840660365497
658,Amazon AWS,australia, Sydney Olympic Park NSW,4 Figtree Drive,,,,,-33.842903,151.072535
659,DhakaColo,bangladesh, Jashore,44 M K Road,,,,,23.1665256,89.2094419
660,Amazon AWS,usa, VA, Ashburn,21271 Smith Switch Road,120666.0,,,37.1232245,-78.4927721
661,IBM Cloud,uk,London,,,,,,51.5074456,-0.1277653
662,Oracle,australia,Sydney NSW,,,,,,-33.8698439,151.2082848
663,Seek,australia, Queensland 4102, Woolloongabba Brisbane,100 Ipswich Road,,,,-27.4861468,153.036754
664,IBM Cloud,germany, Oberursel (Taunus),Gablonzer Straße,,,,,50.2005518,8.580452
665,Serverius IT Infrastructure,netherlands, 8253 PJ Dronten,De Linge 26,,,16146.0,3.0,52.54331978275862,5.70526614137931
666,Amazon AWS,singapore,2 Tai Seng Avenue,,,,,,1.3366054,103.8939434
667,EXA Infrastructure,france, 93300 Aubervilliers,34 Rue des Gardinoux,,21527.82,,3.0,48.909273092578125,2.380195784375
668,EXA Infrastructure,uk, Hoddesdon EN11 0NT,7 Geddings Road,,25833.39,,5.0,51.7616709,-0.0112898
669,Amazon AWS,usa, VA 20147, Ashburn,43831 Devin Shafron Dr building c,,,,,
670,CE Colo,czechia, Prague 10-Michle,Nad Elektrárnou 1428/47,,36597.0,,2.6,50.055836049999996,14.468178637335669
671,Amazon AWS,usa, VA, Sterling,45305 West Severn Way,146000.0,,,37.1232245,-78.4927721
672,Amazon AWS,australia, Macquarie Park NSW 2113,4 Eden Park Drive,,,,,-33.7814961,151.1256747
673,Colt Technologies,netherlands, Amsterdam,Van der Madeweg 14A,,7987.0,7987.0,,52.3730796,4.8924534
674,Global Switch,france, Clichy,7 - 9 Rue Petit,,375822.0,,27.0,48.9026,2.30551
675,NexTDC,australia, Malaga WA,4 Millrose Drive,,32291.73,,6.0,-31.8606948,115.894192
676,EdgeConnex,usa, IL, Elk Grove Village,2021 Lunt Avenue,19875.0,,6.0,40.0796606,-89.4337288
677,Amazon AWS,usa, VA 20166, Sterling,45111 Loudoun Downs Ln,143730.0,,,41.838558,-71.425049
678,Oracle,spain,Madrid,,,,,,40.4167047,-3.7035825
679,IBM Cloud,usa, CA,Santa Clara,,,,,36.7014631,-118.755997
680,China Telecom,china, Shanghai Shi,Xuhui,,,,,31.2323437,121.4691024
681,China Telecom,china, Hubei Sheng, Ezhou Shi, Echeng Qu,,,,22.5470077,114.1204817
682,China Telecom,china, Jiangxi, Fuzhou,Linchuan,,,,28.0,116.0
683,China Telecom,china, Sichuan Sheng, Mianyang Shi, Fucheng Qu,,,,30.5000001,102.4999999
684,Netshop ISP,cyprus, Kokkinotrimithia,Nicosia - Kokkinotrimithia 2054,,,,,35.1542715,33.1986543
685,China Telecom,china, Hubei, Xianning,Xian’an,,,,31.15305035,112.88064226239663
686,China Telecom,china, Sichuan Sheng, Chengdu Shi, Jinjiang Qu,,,,30.5000001,102.4999999
687,MOD Mission Critical,usa, MN, Chaska,3500 Lyman Blvd,160838.0,70000.0,9.0,45.9896587,-94.6113288
689,Zenlayer,china, Hebei, Shijiazhuang, Shijiazhuang,,,,39.0000001,116.0
690,Digital Realty,brazil, São Simão - State of São Paulo,SP-330,,118000.0,,14.0,,
691,Cogent Communications,france,Tours,,,,,,47.3900474,0.6889268
692,China Telecom,china, Jiangsu Sheng, Taizhou Shi, Jiangyan Qu,,,,33.0000001,119.9999999
693,China Telecom,china, Beijing Shi, Daxing Qu,Rui He Xi Er Lu,,,,39.9057136,116.3912972
694,China Telecom,china, Yangpu Qu,Long Chang Lu,,,,,31.2617238,121.5211877
695,China Telecom,china, Zhejiang Sheng, Shaoxing Shi, Yuecheng Qu,,,,29.0000001,119.9999999
696,China Telecom,china, Zhejiang, Wenzhou,Rui'an,,,,29.0000001,119.9999999
697,Zenlayer,china, Shanghai, Pudong, Lujiazui,,,,31.2323437,121.4691024
698,Hivelocity,latvia, Rīga, Latgale Suburb,Čuibes iela 17,,,,56.9493977,24.1051846
699,Telehouse,south korea,Seoul,,,,,,37.5666791,126.9782914
700,China Telecom,china, Hubei, Huangshi, Huangshigang,,,,31.15305035,112.88064226239663
701,Enzu,usa, IL, Chicago,500 S Federal St,,,,40.0796606,-89.4337288
702,Digital Realty,brazil, São Simão - State of São Paulo,SP-330,,129000.0,,20.0,,
703,China Telecom,china, Zhejiang, Ningbo,Yinzhou,,,,29.0000001,119.9999999
704,China Telecom,china, Guangdong,Zhongshan,,,,,23.1357694,113.1982688
705,China Telecom,china, Shanghai Shi, Pudong Xinqu, Bei'ai Road,,,,31.2323437,121.4691024
706,China Telecom,china, Shanghai Shi, Baoshan Qu, Huma Road,,,,31.2323437,121.4691024
707,Enzu,usa, NY, New York,111 8th Avenue,,,,43.1561681,-75.8449946
708,China Telecom,china, Hubei, Qianjiang,1 Zhanghua N Rd,,,,31.15305035,112.88064226239663
709,China Telecom,china, Guangdong, Maoming,Maonan,,,,23.1357694,113.1982688
711,China Telecom,china, Guangdong Sheng, Guangzhou Shi, Haizhu Qu,,,,23.1357694,113.1982688
712,Hivelocity,hong kong, Tsuen Wan, Yeung Uk Road,Global Gateway,,,,22.3716605,114.1134699
713,Hivelocity,lithuania, Vilnius City Municipality, Vilnius,J. Tiškevičiaus gatvė 72,,,,54.700528750000004,25.32211892035221
714,China Telecom,china, Zhejiang Sheng, Quzhou Shi, Kecheng Qu,,,,29.0000001,119.9999999
715,China Telecom,china, Sichuan Sheng, Dazhou Shi, Dachuan Qu,,,,30.5000001,102.4999999
716,China Telecom,china, Guangdong Sheng, Shantou, Longhu Qu,,,,23.1357694,113.1982688
718,China Telecom,china, Jiangxi, Xinyu,Yushui,,,,28.0,116.0
719,China Telecom,china, Shandong, Zibo,Zhangdian,,,,36.398987,118.5055691
720,Deft,brazil, State of São Paulo,São Paulo,,,,,-23.45872135,-46.542661123110825
721,China Telecom,china, Zhejiang, Huzhou, Wuxing,,,,29.0000001,119.9999999
722,MOD Mission Critical,usa, NJ, Secaucus,275 Hartz Way,183900.0,131037.0,,40.0757384,-74.4041622
723,MOD Mission Critical,finland, 02630 Espoo,Sinimäentie 12,,7965.0,,,60.21013534759037,24.76313415120482
724,Prime Data Centers,usa, AZ, Avondale,11753 West Lower Buckeye Road,260400.0,128000.0,48.0,34.395342,-111.763275
725,China Telecom,china, Guangdong Sheng, Huizhou Shi, Huicheng Qu,,,,23.1357694,113.1982688
726,China Telecom,usa, NY 10311, Staten Island,7 Teleport Dr,,,,,
727,Netshop ISP,cyprus, Paphos, Agia Varvara,Anatoliko Industrial Zone,,,,34.7743988,32.4231586
728,China Telecom,china, Beijing, Chaoyang, Dongtucheng Road,,,,39.9057136,116.3912972
729,China Telecom,china, Guangdong Sheng, Huizhou Shi, Huicheng Qu,,,,23.1357694,113.1982688
730,China Telecom,china, Chongqing Shi, Jiangbei Qu,Telecom Mansion,,,,30.05518,107.8748712
731,Zenlayer,usa, CA 95054, Santa Clara,1350 Duane Ave,,,,,
732,China Telecom,uk, London,Isle of Dogs,,,,,51.5074456,-0.1277653
733,Netshop ISP,usa, DC,Washington D.C.,,,,,39.7940527,-100.472769
734,China Telecom,china, Beijing, Chaoyang,Guangqu Rd,,,,39.9057136,116.3912972
735,China Telecom,china, Zhejiang, Huzhou,Wuxing,,,,29.0000001,119.9999999
736,China Telecom,china, Jiangxi, Yingtan, Yuehu District,,,,28.0,116.0
737,Cologix,canada, QC, Montreal,875 Rue Saint-Antoine Ouest,25000.0,,1.0,52.4760892,-71.8258668
738,Tel Networks Inc.,usa, MI, Detroit,1545 Clay Street,,,,43.6211955,-84.6824346
739,Cologix,canada, British Columbia, Vancouver,555 W Hastings St,,10800.0,1.6,55.001251,-125.002441
740,China Telecom,usa, CA 95054, Santa Clara,1525 Comstock Street,,,,,
741,Lumen,usa, CA, Santa Clara,3045 Raymond Street,50000.0,17309.0,8.0,36.7014631,-118.755997
742,Prov.net/IronTrust Networks,usa, RI, Providence,935 Westminster Street,4000.0,2000.0,0.2,41.7962409,-71.5992372
743,China Telecom,germany, 60314 Frankfurt am Main,Hanauer Landstraße 298,,,,,50.113769684240005,8.712718914
745,Cogent Communications,france, Grenoble,33 Rue Joseph Chanrion,,,,,45.1875602,5.7357819
746,Limestone Networks,usa, FL, Miami,36 Northeast 2nd Street,,,,27.7567667,-81.4639835
747,Equinix,chile, Región Metropolitana, Pudahuel,Los Vientos 20239,43056.0,,,-33.5036125,-70.7588544
748,Enzu,usa, TX, Dallas,2323 Bryan Street,,,,31.2638905,-98.5456116
749,DataBank,usa, WA, Seattle,2001 6th Avenue,,4040.0,0.21,47.2868352,-120.212613
752,TierPoint,usa, PA 18017, Bethlehem,3864 Courtney Street ste 130,25000.0,12000.0,,,
753,MOD Mission Critical,costa rica, San Pedro, San José, Roosevelt,,,,9.931519,-84.0503028
754,China Telecom,china, Jiangsu Sheng, Lianyungang Shi, Haizhou Qu,,,,33.0000001,119.9999999
755,Digital Realty,kenya, Mombasa,Kongoni Road & Beach Rd,,18000.0,,3.9,-4.05052,39.667169
756,Digital Realty,hong kong, Kwai Chung,11 Kin Chuen Street,,228000.0,,24.0,22.3609551,114.1290095
757,MOD Mission Critical,australia, Alexandria NSW 2015,200 Bourke Road,,661722.0,,,-33.9091568,151.1921281
758,Cogent Communications,usa, CA, San Diego,525 B Street,5307.0,5307.0,,36.7014631,-118.755997
759,China Telecom,china, Zhejiang, Taizhou, Jiaojiang District,,,,29.0000001,119.9999999
760,Lumen,usa, MN, Minneapolis,511 11th Avenue South,12291.0,3434.0,,45.9896587,-94.6113288
761,China Telecom,uk, London E14 2AX, Poplar,East India Dock House,,,,51.5156177,-0.0919983
762,H5 Data Centers,usa, NY, New York,325 Hudson Street,240000.0,,,43.1561681,-75.8449946
763,Lumen,usa, MI, Southfield,19675 West 10 Mile Road,39357.0,7488.0,,43.6211955,-84.6824346
764,Evocative,usa, CA 95054, Santa Clara,1525 Comstock Street,14800.0,,9.0,,
765,Lumen,usa, WA, Seattle,1000 Denny Way,48959.0,20376.0,,47.2868352,-120.212613
766,Prime Data Centers,usa, IL, Elk Grove Village,1601 Midway Ct,354000.0,156000.0,54.0,40.0796606,-89.4337288
767,Lumen,usa, LA, New Orleans,1250 Poydras Street,9379.0,2500.0,,34.0536909,-118.242766
768,Cogent Communications,france, Strasbourg,46 Route de Bischwiller,,,,,48.584614,7.7507127
769,"Carroll-Net, Inc.",usa, NJ, Hackensack,905 Main St,,,,40.0757384,-74.4041622
770,Flexential,usa, VA 23227, Richmond,8851 Park Central Drive suite b,28594.0,10500.0,2.8,37.4963453,-77.46564277453633
771,Flexential,usa, UT 84115, Salt Lake City,3949 South 200 East suite b1,36000.0,14713.0,1.92,,
772,Digital Realty,brazil, 06268-120, São Paulo - SP, 350 - Vila Osasco,75000.0,,9.0,,
773,TierPoint,usa, WA 99019, Liberty Lake,23403 East Mission Avenue,32000.0,21000.0,,,
774,Lumen,usa, CA, West Sacramento,1075 Triangle Court,15000.0,24680.0,,36.7014631,-118.755997
775,Prov.net/IronTrust Networks,usa, MA, Chelmsford,187 Billerica Road,8000.0,5000.0,1.0,18.3414575,-64.9335173
776,Enzu,usa, TX, Austin,205 W 9th St,,,,31.2638905,-98.5456116
777,China Telecom,brazil, 06455-000, Barueri - SP, 3641 - Tamboré,,,,-23.501383665789472,-46.83795952105263
778,Tel Networks Inc.,usa, IL, Chicago,130 East Randolph Street,,,,40.0796606,-89.4337288
779,DartPoints,usa, LA, Baton Rouge,7127 Florida Boulevard,27000.0,,,34.0536909,-118.242766
780,Psychz Networks,brazil, 06460-120, Barueri - SP, 1900 - Res. Tambore,64260.0,,,-23.49612525,-46.8252097
781,Prime Data Centers,denmark, 9300 Sæby,Energivej 1,,348751.0,145220.0,30.0,57.3312762,10.5198811
782,Tel Networks Inc.,canada, ON, Toronto,151 Front Street West,,,,50.000678,-86.000977
784,Lumen,usa, OR, Beaverton,707 SW Washington Ave,4663.0,1321.0,,43.9792797,-120.737257
785,China Telecom,australia, Ultimo NSW 2007,400 Harris Street,,,,,-33.8794728,151.1984346
786,"Ascenty, a Digital Realty Company",brazil, Paulínia - State of São Paulo,R. Sebastião Cardoso - Parque Brasil 500,,86000.0,,14.0,,
787,Digital Realty,sweden, Kista,Esbogatan 11,,14107.0,,2.9,59.403311,17.9442849
788,China Telecom,usa, CA 90012, Los Angeles,900 N Alameda St,,,,,
789,China Telecom,germany, 65933 Frankfurt am Main,Lärchenstraße 110,,,,,50.09827488482664,8.600775729454172
790,Zenlayer,malaysia, Federal Territory of Kuala Lumpur, 60000 Kuala Lumpur, Taman Tun Dr Ismail,,,,3.1526589,101.7022205
791,CyberNest,usa, CA 90245, El Segundo,445 North Douglas Street,,,,,
792,Psychz Networks,uk, London E14 9YY,240 E India Dock Rd,,705488.0,,,51.5156177,-0.0919983
793,"Cato Digital, Inc",usa, NY, New York, Hudson Street,,,,43.1561681,-75.8449946
794,Cogent Communications,usa, CA, Los Angeles,530 W 6th St,8400.0,8400.0,,36.7014631,-118.755997
795,Cologix,usa, TX, Dallas,1950 North Stemmons Freeway,28000.0,28000.0,,31.2638905,-98.5456116
796,TierPoint,usa, OK, Tulsa,322 East Archer Street,36000.0,4000.0,,34.9550817,-97.2684063
797,Enzu,usa, WA, Tukwila,12201 Tukwila International Boulevard,,,,47.2868352,-120.212613
798,DataBank,usa, KS, Lenexa,10605 West 84th Terrace,31000.0,11510.0,2.0,38.27312,-98.5821872
799,Digital Realty,usa, VA, Ashburn,43791 Devin Shafron Drive,135000.0,,12.0,37.1232245,-78.4927721
800,Amazon AWS,china, Hebei, Langfang, Yongqing County,,,,39.0000001,116.0
801,Ixcellerate,russia, Moscow, Dekabristov Ulitsa,Shosse,,21528.0,13.7,55.7505412,37.6174782
803,IBM Cloud,canada, ON,Toronto,,,,,50.000678,-86.000977
804,uNetworks,germany, 90429 Nürnberg,Fürther Straße 212,,,3649.0,,49.45295510096427,11.05093490272263
805,Leuk Teleport and Data Centre,switzerland, Leuk,Brentjong 2,,,,4.0,46.27775645,7.6680202299915
806,LCL Belgium,belgium, Antwerp,Noorderlaan 133,,,,,51.2211097,4.3997081
807,EdgeConnex,usa, CA, Santa Clara,1700 Richard Avenue,19800.0,,1.8,36.7014631,-118.755997
808,EdgeConnex,usa, TN 38115, Memphis,4005 S Mendenhall Rd #6,16700.0,,1.5,,
809,STACK INFRASTRUCTURE,australia, Hume ACT,56 Sheppard Street,,,,28.0,-35.3853817,149.1658468
810,Oracle,canada, QC,Montreal,,,,,52.4760892,-71.8258668
811,Amazon AWS,china, Beijing, Shunyi District,Yanshun Road,,,,39.9057136,116.3912972
812,Epsilon Telecommunications,uk, London, 69-77 Paul Street,Telephone House,5500.0,,,51.5074456,-0.1277653
813,Netforchoice Data Center,india, Uttar Pradesh, Noida, Sector 57,,,,27.1303344,80.859666
814,STACK EMEA,denmark, Taastrup, Litauen Alle,Copenhagen Markets,17222.0,,1.5,55.6522136,12.292049
815,Redcentric,uk, Hounslow TW4 6NW, Cranford,Green Lane,195000.0,130000.0,,51.4686132,-0.3613471
816,Aventus Data Centers,usa, WI, Marshfield,901 Commerce Drive,20000.0,,,44.4308975,-89.6884637
817,Aptum Technologies,uk, Hampshire PO9 1SA, Havant, Langstone Road,58000.0,10000.0,10.0,50.886276699999996,-0.9601539754059019
818,NewTelco,ukraine, Kyiv Oblast, Plesets'ke, 50,,1184.0,,50.178595,30.4924884
819,ColoBarn,usa, FL, Malabar,3225 Jordan Boulevard,60000.0,4000.0,,27.7567667,-81.4639835
820,Amazon AWS,usa, OR 97818, Boardman,Rippee Road,,,,,
821,Pulsant,uk, Milton Keynes MK14 6PD, Linford Wood,Rockingham Drive,21818.0,12013.0,2.1,52.0406502,-0.7594092
822,Epsilon Telecommunications,south korea, Seoul, Guro-gu,61 Digital-ro 31-gil,249131.0,,,37.5666791,126.9782914
823,EvoSwitch,singapore,1 Serangoon North Ave 6,,,153000.0,,5.0,1.3755836,103.8712598
824,Dorabase,turkey, 34722 Kadıköy/İstanbul, Eylül Sokak No:12,Eğitim,11302.0,,,40.99390111481481,29.04059482592593
825,MedOne,israel,Petach Tikva,,,,21528.0,3.5,32.0877639,34.8859985
826,uNetworks,germany, 33602 Bielefeld,Niederwall 2,,,3218.0,,52.02172693578586,8.535164057829947
827,Aventus Data Centers,usa, WI, Milwaukee,7901 West Clinton Avenue,26432.0,,,44.4308975,-89.6884637
828,Mosaic Data Services,usa, VA,Ashburn,,,,,37.1232245,-78.4927721
829,EdgeConnex,usa, CO, Englewood,8451 Highfield Parkway,115500.0,,21.6,38.7251776,-105.607716
830,EXA Infrastructure,uk, Bracknell RG12 8TH, Oldbury,St James House,3229.17,,1.0,51.4143513,-0.7449925
831,WowRack,usa, WA, Tukwila,12201 Tukwila International Boulevard,,18000.0,3.0,47.2868352,-120.212613
832,EdgeConnex,usa, WA 98168, Seattle,3425 South 116th Street building 6 suite 133,47000.0,,4.5,,
833,Leading Edge Data Centres,australia,Dubbo NSW,,,6243.0,,0.75,-32.2478964,148.6026502
834,MDC Data Centers,usa, AZ, Nogales,81 North Sonoita Avenue,,,0.2,34.395342,-111.763275
835,Colt Technologies,germany, Hamburg,Drehbahn 1,,26910.0,,,53.550341,10.000654
836,EvoSwitch,uk, Slough SL1 2JH,4 Slough Road,,53820.0,,,51.5111014,-0.5940682
837,910Telecom,usa, Colorado, Denver,910 15th Street,140000.0,,2.0,38.7251776,-105.607716
838,Global Switch,hong kong, New Territories, Tseung Kwan O Industrial Estate,18 Chun Yat Street,758361.0,,100.0,22.4300716,114.0724197
839,IBM Cloud,brazil, State of São Paulo,São Paulo,,,,,-23.45872135,-46.542661123110825
840,Prime Data Centers,usa, CA 95652, McClellan Park,2407 Ak St,65000.0,39711.0,8.0,,
841,Digital Realty,usa, NJ, Piscataway Township,3 Corporate Place,277000.0,135000.0,26.0,40.0757384,-74.4041622
842,Equinix,finland, Helsinki,Sahamyllyntie 4b,,8934.0,8934.0,2400.0,60.1674881,24.9427473
843,FIBERTOWN,usa, TX, Houston,12031 North Freeway,10000.0,,6.0,31.2638905,-98.5456116
844,Iron Mountain Data Centers,germany, 60437 Frankfurt am Main,Heinrich-Lanz-Allee 47,,414410.0,,10.6,50.19242031785239,8.675614771942021
845,Digital Realty,germany, 65936 Frankfurt am Main,Wilhelm-Fay-Straße 24,,75000.0,,9.0,50.12073031162915,8.566380651929261
846,HostDime,mexico, Jalisco, 44510 Zapopan, Jardines Plaza del Sol,20000.0,,,20.3333331,-103.6666671
847,Atlantic.net,usa, FL, Orlando,440 West Kennedy Boulevard,,,,27.7567667,-81.4639835
848,UnitedLayer,usa, CA, San Francisco,200 Paul Avenue,512642.0,32000.0,,36.7014631,-118.755997
